id,library,methods,constructor
10541891,Seeed_Arduino_UltrasonicRanger,MeasureInCentimeters###MeasureInMillimeters###MeasureInInches,Ultrasonic
331363613,VL6180,_CachedRegs_Fetch###VL6180_RangeSetRawThresholds###VL6180_RangeSetEceState###VL6180_RangePollMeasurement###VL6180_RangeGetMeasurement###VL6180_RangeGetThresholds###VL6180_SetGPIOxPolarity###VL6180_RangeIgnoreSetEnable###VL6180_UpdateByte###_filter_StdDevDamper###VL6180_RangeGetResult###VL6180_SetI2CAddress###_DMax_RawValueAtRateKCps###GetDistance###VL6180_GetCachedWord###VL6180_WrWord###VL6180_StaticInit###VL6180_UpscaleStaticInit###VL6180_DisableGPIOxOut###VL6180_SetXTalkCompensationRate###VL6180_RangeSetThresholds###VL6180_GetCachedByte###VL6180_UpscaleRegInit###VL6180_FilterSetState###VL6180_SetupGPIO1###VL6180_ClearInterrupt###VL6180_DMaxGetState###begin###VL6180_WrByte###VL6180_RangeConfigInterrupt###VL6180###VL6180_RangeGetDeviceReady###VL6180_RdByte###InitSensor###_UpscaleInitPatch0###VL6180_I2CRead###VL6180_UpscaleGetScaling###VL6180_GetOffsetCalibrationData###_GetRateResult###VL6180_Prepare###VL6180_RdWord###VL6180_RangeIgnoreConfigure###VL6180_RangeSetEceFactor###VL6180_GetUpperLimit###VL6180_On###VL6180_RangeSetMaxConvergenceTime###VL6180_RangeWaitDeviceReady###_filter_Start###VL6180_DMaxSetState###VL6180_SqrtUint32###VL6180_SetOffsetCalibrationData###VL6180_SetGroupParamHold###VL6180_RangeGetMeasurementIfReady###VL6180_SetGPIOxFunctionality###VL6180_RangeSetSystemMode###_filter_Init###VL6180_Off###_DMax_Compute###VL6180_InitData###VL6180_RangeStaticInit###_GetAveTotalTime###VL6180_SetupGPIOx###VL6180_GetInterruptStatus###_filter_GetResult###VL6180_FilterGetState###VL6180_GetCachedDWord###VL6180_RangeStartSingleShot###VL6180_RangeSetInterMeasPeriod###Init###VL6180_RdDWord###end###VL6180_ClearErrorInterrupt###VL6180_WaitDeviceBooted###VL6180_ReadMulti###VL6180_I2CWrite###_RangeIgnore_UpdateDevice###_CachedRegs_Flush###_DMax_OneTimeInit###VL6180_RangeGetInterruptStatus###ReadID###VL6180_WrDWord###VL6180_RangeClearInterrupt###VL6180_RangeSetEarlyConvergenceEestimateThreshold###VL6180_UpscaleSetScaling###_DMax_InitData###VL6180_RangeStartContinuousMode###VL6180_ClearAllInterrupt,VL6180
350091135,Arduino_OplaUI,setSteps###hide###setTitle###onValueChange###getFloatValue###onButtonDown###begin###setDigits###setReadOnly###Gauge1_Widget###draw###attachValue###setSuffix###show###setRange###incrementValue,Gauge1_Widget
350091135,Arduino_OplaUI,setSteps###Gauge2_Widget###hide###setTitle###onValueChange###getFloatValue###onButtonDown###begin###setDigits###setReadOnly###draw###attachValue###setSuffix###show###setRange###incrementValue,Gauge2_Widget
350091135,Arduino_OplaUI,setSteps###hide###setTitle###onValueChange###getFloatValue###onButtonDown###begin###setDigits###setReadOnly###draw###attachValue###setSuffix###show###setRange###incrementValue,String_Widget
350091135,Arduino_OplaUI,setSteps###hide###setTitle###onValueChange###getFloatValue###onButtonDown###begin###setDigits###setReadOnly###draw###attachValue###setSuffix###show###setRange###incrementValue,Bool_Widget
350091135,Arduino_OplaUI,loop###redrawCurrentWidget###setWidget###getCurrentWidget###onButtonDown###showWidget###begin,DirectWidgetsApp
350091135,Arduino_OplaUI,loop###addWidget###redrawCurrentWidget###getCurrentWidget###onButtonDown###showWidget###begin,CycleWidgetsApp
350091135,Arduino_OplaUI,setSteps###clear###setBackgroundColor###getDigits###setTitle###getSteps###getMin###begin###setDigits###getMax###getSuffix###draw###setSuffix###getTitle###setRange,OplaGauge1
350091135,Arduino_OplaUI,setSteps###OplaGauge2###clear###setBackgroundColor###getDigits###setTitle###getSteps###getMin###begin###setDigits###getMax###getSuffix###draw###setSuffix###getTitle###setRange,OplaGauge2
350091135,Arduino_OplaUI,setSteps###clear###setBackgroundColor###getDigits###setTitle###getSteps###getMin###begin###setDigits###getMax###getSuffix###draw###setSuffix###getTitle###setRange,OplaGauge3
350091135,Arduino_OplaUI,setSteps###clear###setBackgroundColor###getDigits###setTitle###getSteps###getMin###begin###setDigits###getMax###getSuffix###draw###setSuffix###getTitle###setRange,OplaGauge4
86368323,bme280,ConfigFilterCoef###die_temp_c###ConfigStandbyTime###pres_pa###filter_coef###humidity_rh###humidity_oversampling###temp_oversampling###ConfigTempOversampling###ConfigPresOversampling###standby_time###Config###Bme280###Read###ConfigHumidityOversampling###Begin###Reset###pres_oversampling,Bme280
454995609,DM8BA10,LCD###clearDisplay###setPos###drawChar###setChar###print###backlight###setPoint###allSegments###getCharset###systemOscillator###println###resetPoints###padString###scroll###point,DM8BA10
23003917,TFT_22_ILI9225,clear###drawCircle###invert###setBackgroundColor###setDisplay###drawRectangle###setGFXFont###fillTriangle###getOrientation###maxY###begin###maxX###setOrientation###drawChar###drawGFXText###setBacklightBrightness###drawXBitmap###drawText###getTextWidth###setFont###getGFXTextExtent###getCharWidth###fillRectangle###drawBitmap###fillCircle###setBacklight###getFont###setColor###splitColor###drawPixel###drawTriangle###drawLine###drawGFXChar,TFT_22_ILI9225
170329230,TouchEvent,registerOnTouchDown###setMoveTreshold###setLongClick###registerOnTouchClick###registerOnTouchSwipe###setDrawMode###setResolution###getMinMax###pollTouchScreen###registerOnAllEvents###registerOnTouchLong###registerOnTouchDraw###setSwipe###registerOnTouchDblClick###setDblClick###calibrate###autocalibrate###registerOnTouchUp###isInArea,TouchEvent
226153997,P1AM,setPosition###readInputs###readPosition###setZResetValue###readAlerts###setRolloverPosition###readRollOver,P1_HSC_Channel
226153997,P1AM,configureChannels###readInputs,P1_HSC_Module
2979604,Arduino-PID-Library,SetControllerDirection###Compute###GetDirection###SetOutputLimits###SetTunings###SetMode###GetKi###SetSampleTime###GetMode###GetKp###GetKd,PID
291314529,TGP_MenuOLED,ajouterItemOnOff###ajouterItemNumerique###getMenuOnOff###ajouterItemTexte###imprimeLigneTitreOLED###setItemValeur###actualiserUnItem###begin###refresh###getNbItems###getItemValeur###setMenuOn###imprimeLigneStatusOLED###setMenuOff,MenuOLED
47915643,Pushbutton,holdIntervalTime###ReadCurrentPushbuttonState###debounceTime###port###begin###pullUpDown###update###holdTime,Pushbutton
457446771,arduino-i2c-sts4x,measureLowestPrecisionTicks###serialNumber###measureMediumPrecisionTicks###measureLowestPrecision###softReset###measureHighPrecision###measureMediumPrecision###measureHighPrecisionTicks###begin,SensirionI2CSts4x
65132514,Arduino-TCM2,resetDataPointer###end###getTemperature###getDeviceId###getChecksum###uploadImageData###getImageData###uploadImageFixVal###getSystemInfo###getDeviceInfo###uploadImageCopySlots###displayUpdate###imageEraseFrameBuffer###begin###uploadImageSetROI###getSystemVersionCode###getSensorData,TCM2
188279208,SparkFun_TMP117_Arduino_Library,setHighLimit###dataReady###getTemperatureOffset###setAlertFunctionMode###setConversionAverageMode###getHighLimit###begin###getLowLimit###readTempF###readTempC###setConversionCycleBit###getConversionMode###getAlertFunctionMode###setShutdownMode###getHighAlert###getConfigurationRegister###setTemperatureOffset###setLowLimit###getConversionAverageMode###getHighLowAlert###getAddress###getLowAlert###setOneShotMode###softReset###setContinuousConversionMode###getConversionCycleBit,TMP117
48924554,MobaTools,MoToButtons###released###processButtons###allStates###resetChanged###longPress###forceChanged###changed###shortPress###state###pressed###clicked,MoToButtons
48924554,MobaTools,running###stop###MoToTimebase###setBasetime###tick###inactive###start,MoToTimebase
48924554,MobaTools,running###stop###getRuntime###getTime###MoToTimer###restart###getRemain###getElapsed###setTime###expired,MoToTimer
48924554,MobaTools,MoToServo###attach###write###detach###moving###setMaximumPulse###read###setMinimumPulse###attached###readMicroseconds###setSpeed,MoToServo
48924554,MobaTools,rotate###doSteps###moveTo###setRampLen###setSpeed###setSpeedSteps###attach###moving###setMaxSpeed###distanceToGo###MoToStepper###getSpeedSteps###write###detach###currentPosition###writeSteps###stepsToDo###stop###setZero###attachEnable###move###prDynData###attached###read###readSteps,MoToStepper
48924554,MobaTools,off###toggle###write###attach###MoToSoftLed###on###riseTime,MoToSoftLed
12710740,Adafruit_RA8875,drawCircle###drawEllipse###height###scrollX###readData###PWM2out###writeReg###getRotation###textTransparent###readStatus###scrollY###setXY###drawRoundRect###fillEllipse###waitPoll###fillScreen###sleep###textColor###fillRect###fillCurve###eepromReadS32###fillCircle###graphicsMode###readCalibration###textWrite###eepromWriteS32###displayOn###GPIOX###drawRect###cursorBlink###drawFastVLine###fillRoundRect###setRotation###begin###textEnlarge###textMode###setScrollWindow###touched###writeCommand###write###PWM2config###drawPixels###textSetCursor###PWM1out###touchRead###writeData###readReg###drawCurve###pushPixels###drawFastHLine###softReset###drawPixel###width###drawTriangle###touchEnable###drawLine###writeCalibration###fillTriangle###PWM1config,Adafruit_RA8875
321552456,protocentral-ads1293-arduino,disableFilterAllChannels###disableCh1###setSamplingRate###attachTestSignal###ads1293###setAds1293Pins###ads1293Begin5LeadECG###getECGdata###ads1293ReadRegister###disableFilter###readSensorID###ads1293Begin3LeadECG###readErrorStatus,ads1293
303000635,MCCI_Catena_SCD30,cMeasurementLoop###requestActive###end###getStateName###poll###begin,cMeasurementLoop
303000635,MCCI_Catena_SCD30,getLastError###readAltitudeCompensation###getMeasurement###writeCommandBuffer###readMeasurement###getMeasurementInterval###stopMeasurement###getState###activateAutomaticSelfCalbration###begin###getInfo###startContinuousMeasurementCommon###end###startContinuousMeasurement###crc###queryReady###getMsToNextMeasurement###readTemperatureOffset###cSCD30###getLastErrorName###writeCommand###readUint16###getErrorName###setMeasurementInterval###crc_multi###setTemperatureOffset###checkRunning###isRunning###setForcedRecalibrationValue###getAddress###readProductInfo###getCurrentStateName###readForcedRecalibrationValue###getRelativeHumidity###setLastError###getStateName###softReset###readDataReadyStatus###getCO2ppm###readMeasurementInterval###readResponse###getTemperature###readFirmwareVersion###readAutoSelfCalibration###setAltitudeCompensation,cSCD30
433573758,GyverHC595,clear###write###GyverHC595###set###writeByte###update,GyverHC595
177072532,Isolated_ISE,getCalibrateHighReference###calibrateProbeLow###pHtomV###calibrateSingle###calibrateProbeHigh###mVtopH###getFirmware###useTemperatureCompensation###readData###begin###setTemp###getCalibrateLowReading###reset###getCalibrateHighReading###getCalibrateOffset###measureTemp###writeEEPROM###setI2CAddress###setBlocking###getCalibrateLowReference###measuremV###measurepH###connected###getBlocking###readEEPROM###getVersion###setDualPointCalibration,uFire_pH
177072532,Isolated_ISE,getCalibrateHighReference###calibrateProbeLow###calibrateSingle###calibrateProbeHigh###getFirmware###useTemperatureCompensation###readData###begin###setTemp###getCalibrateLowReading###reset###getCalibrateHighReading###getCalibrateOffset###measureTemp###writeEEPROM###setI2CAddress###setBlocking###getCalibrateLowReference###measuremV###connected###getBlocking###readEEPROM###getVersion###setDualPointCalibration,uFire_ISE
177072532,Isolated_ISE,measureORP###measuremV###getCalibrateHighReference###calibrateProbeLow###calibrateSingle###calibrateProbeHigh###getFirmware###setDualPointCalibration###getProbePotential###setProbePotential###readData###useTemperatureCompensation###connected###getBlocking###begin###readEEPROM###setTemp###getCalibrateLowReading###reset###getVersion###getCalibrateOffset###getCalibrateHighReading###measureTemp###writeEEPROM###setI2CAddress###setBlocking###getCalibrateLowReference,uFire_ORP
69824958,HalfStepper,UpdateSteps###SetDirection###StepBackward###SetPhasingMode###setSpeed###GetSteppingMode###step###GetDirection###StepForward###SetPosition###SetSequenceType###GetSequenceType###GetSpeedRPMs###StepTo###version###GetPosition###GetPhasingMode###Step###DoStep###SetSteppingMode,HalfStepper
75088397,arduino-sht,readSample###init###getTemperature###SHTSensor###setAccuracy###getHumidity,SHTSensor
75088397,arduino-sht,readHumidity###SHT3xAnalogSensor###readTemperature,SHT3xAnalogSensor
65587720,vl53l0x-arduino,setMeasurementTimingBudget###stopContinuous###timeoutOccurred###getMeasurementTimingBudget###getVcselPulsePeriod###getTimeout###writeReg32Bit###writeReg###readReg16Bit###setTimeout###setAddress###getBus###setBus###init###writeMulti###readMulti###getAddress###readReg32Bit###writeReg16Bit###readReg###readRangeContinuousMillimeters###readRangeSingleMillimeters###setSignalRateLimit###getSignalRateLimit###startContinuous###setVcselPulsePeriod,VL53L0X
141675049,Seeed_SHT35,reset_check###change_heater_status###set_iic_addr###IIC_begin###set_scl_pin###read_bytes###clear_status_reg###soft_reset###convert_temp_hum_to_set_limit###read_meas_data_single_shot###request_bytes###get_temp###send_command###get_hum###hum_to_hex###crc8###temp_to_hex###read_reg_status###heaterStatus###init###last_write_checksum###I2C_write_bytes###cmd_excu_stat,SHT35
236552977,AlternativeLSS,toString###LynxPacket###commandCode###query###parse###set###serialize###matches###between###broadcast###flash###parseCommand,LynxPacket
236552977,AlternativeLSS,clear###AsyncToken###isValid###Unresponsive###isActive###isUnresponsive###isComplete,AsyncToken
236552977,AlternativeLSS,alloc###ReadAsyncAll###scan###update###waitFor###send###contains###begin###free###add###create,LynxChannel
36457223,InputDebounce,getCurrentPressedDuration###getSwitchType###isPressed###process###registerCallbacks###released###getPinInMode###getLastPressedDuration###releasedDuration###getPinIn###setup###getDebounceDelay###isReleased###pressedDuration###getPressedDurationMode###isEnabled###pressed###getStatePressedCount,InputDebounce
285556735,ArduinoKim,send_data###set_ID###uint2hexString###set_TCXOWU###set_FRQ###get_ID###get_sleepMode###get_BAND###get_TCXOWU###get_PWR###set_BAND###set_PWR###get_SN###set_sleepMode###set_SN###get_FW###get_FRQ###check,KIM
49064180,MAX44009,begin###get_lux,MAX44009
27843478,Button,onHoldRepeat###isPressed###toggled###onPress###released###is###has_changed###onRelease###read###begin###pressed###onHold###update,BasicButton
27843478,Button,onHoldRepeat###isPressed###toggled###onPress###released###is###has_changed###onRelease###read###begin###pressed###onHold###update,BasicButton
14972614,Adafruit_Trellis_Library,clear###isLED###writeDisplay###clrLED###wasKeyPressed###blinkRate###setLED###isKeyPressed###readSwitches###init###setBrightness###begin###justPressed###justReleased,Adafruit_Trellis
14972614,Adafruit_Trellis_Library,clear###isLED###writeDisplay###clrLED###wasKeyPressed###blinkRate###setLED###isKeyPressed###readSwitches###setBrightness###begin###justPressed###justReleased,Adafruit_TrellisSet
248239243,107-Arduino-TMF8801,clr_gpio###get###read_serial_number###change_i2c_address###set_gpio###begin###stop_continuous_measurement###error###onExternalEventHandler###clearerr,ArduinoTMF8801
248239243,107-Arduino-TMF8801,application_loadCalibData###getAppRevisionPatch###loadBootloader###getCurrentApplication###getAppRevisionMinor###bootloader_set_address###loadApplication###enableInterrupt###reset###application_readObjectDetectionResult###bootloader_write_ram###getAppRevisionMajor###application_loadAlgoState###clearInterrupt###getRegisterContent###bootloader_download_init###disableInterrupt###bootloader_ramremap_reset###application_read_serial_number,TMF8801_Api
248239243,107-Arduino-TMF8801,set_i2c_slace_addr###write###modify###read###isBitSet,TMF8801_Io
356474141,RAK14001-NCP5623-Library,setGreen###writeReg###setChannel###setColor###setGradualDimmingUpEnd###setGradualDimmingDownEnd###setRed###setGradualDimming###mapColors###setCurrent###setBlue###begin,NCP5623
305121307,Musician,play###setPlaying###getPause###setBreath###noSound###isPlaying###setLoudnessLimit###getNextDuration###refresh###stop###getMelody###setMelody###getBreath###restartMelody###playSync###setPause###updateMelody,Musician
450161906,MS5611_SPI,usesVSPI###getTemperatureOffset###getPressureOffset###getOversampling###lastRead###begin###selectHSPI###getPressure###setSPIspeed###getLastResult###getSPIspeed###reset###setGPIOpins###setPressureOffset###getCompensation###setCompensation###selectVSPI###usesHSPI###setTemperatureOffset###setOversampling###getDeviceID###usesHWSPI###getTemperature###read,MS5611_SPI
5401042,KalmanFilter,setQangle###getQbias###getRmeasure###getQangle###setQbias###setRmeasure###getAngle###getRate###setAngle,Kalman
316976280,mrm-lid2,stress###test###roiCenter###rangeProfileSet###distance###roi###add###begin,VL53L1Xs
23991561,iLib,awaitMeasurement###triggerMeasurement###getMeasurement###setAltimeter###setEnabled###setEventFlags###checkMeasurement###i2cSensor###getPressure###reset###getEnabled###setOversampleRatio###initialize###getTemperature###getAltitude,MPL3115A2
23991561,iLib,awaitMeasurement###triggerMeasurement###getMeasurement###setEnabled###setDataRate###setSensorAutoReset###checkMeasurement###i2cSensor###reset###initialize###setRawMode,MAG3110
23991561,iLib,init###get###float,eFunction
23991561,iLib,awaitMeasurement###getMeasurement###setASensitivity###setEnabled###setBandwidth###MPU9250###checkMeasurement###i2cSensor###reset###initialize###setGSensitivity###setDatarate,MPU9250
23991561,iLib,awaitMeasurement###checkMeasurement###i2cSensor###getMeasurement###reset###initialize###setEnabled,MAX44009
23991561,iLib,get###init###eFunction###set_zeropoint###float,eFunction
23991561,iLib,awaitMeasurement###getMeasurement###setEnabled###checkMeasurement###i2cSensor###setSensibility###reset###MMA8451###initialize###setDatarate,MMA8451
23991561,iLib,setleds_pin###setleds###WS2812B###sendarray_mask###sendarray,WS2812B
23991561,iLib,setPreambleLength###setIMax###sendData###setPMax###handleIRQ###setRegister###RFM95###receiveDataSingle###receiveDataCont###canSend###extractFifo###setLNA###spiRead###setFrequency###spiWrite###setIdleState###setEnabled###setBandwidth###startIdleState###filterCRC###getFrequency###spiExchange###initialize,RFM95
23991561,iLib,awaitMeasurement###getMeasurement###L3G###setEnabled###checkMeasurement###i2cSensor###setSensibility###reset###initialize###setDatarate,L3G
23991561,iLib,awaitMeasurement###autoGain###getMeasurement###setEnabled###checkMeasurement###i2cSensor###setATime###reset###setAGain###initialize###setWaitTime,TCS3772
23991561,iLib,PCF2127###setMinutes###readTime###getDays###setTemperaturePeriod###getYears###getHours###setDays###getMinutes###setWeekdays###setTime###setSeconds###getSeconds###setHours###getMonth###setYears###clearInterrupt###initialize###getWeekdays###setClockOut###setMonth,PCF2127
23991561,iLib,getEmptyStatus###getRemainingCapacity_mAh###getDesignCap_fmAh###clearPORStatus###setAlarmVoltage###getStateOfCharge###getCellAge_per###getTemperature_c###getTimeToEmpty_min###getChargingCycles_per###getTimeToEmpty_fmin###setTerminationChargeCurrent###setEmptyVoltage###getCellCurrent_mA###getCellAverageCurrent_fmA###getCellVoltage_mV###setBasicConfig###restoreData###backupData###getCellAge_fper###getTemperature_fc###getPORStatus###setFullThreshold###getStateOfCharge_f###setSense###getSense###getFullCapacity_mAh###setCapacityDesign,MAX17047
23991561,iLib,setHeater###awaitMeasurement###getTemperature###triggerMeasurement###getMeasurement###getTemperatureReq###setEnabled###requestTemperature###getHumidity###readTemperature###checkMeasurement###i2cSensor###reset###setResolution###initialize###readTemperatureReq###readHumidity,SI7021
23991561,iLib,setPressureOversampleRatio###awaitMeasurement###setTemperatureOversampleRatio###triggerMeasurement###getMeasurement###setEnabled###setStandby###checkMeasurement###getPressure###i2cSensor###BMP280###reset###getEnabled###initialize###setFilterRatio###getTemperature###getAltitude###readTrimming,BMP280
49988773,lsm6-arduino,writeReg###readGyro###getDeviceType###enableDefault###readReg###readAcc###vector_normalize###setBus###init###getBus###read,LSM6
283840909,ADS1X15,setComparatorThresholdHigh###_requestADC###getComparatorThresholdLow###setComparatorThresholdLow###getValue###isConnected###_writeRegister###getLastValue###setMode###getWireClock###begin###toVoltage###setGain###setComparatorPolarity###setWireClock###reset###getDataRate###requestADC###getComparatorLatch###isReady###setComparatorQueConvert###getMaxVoltage###getComparatorThresholdHigh###requestADC_Differential_0_1###getGain###isBusy###readADC_Differential_0_1###setComparatorLatch###readADC###setDataRate###setComparatorMode###getComparatorMode###_readRegister###getMode###getComparatorPolarity###getError###_readADC###getComparatorQueConvert,ADS1114
283840909,ADS1X15,setComparatorThresholdHigh###_requestADC###setComparatorThresholdLow###getValue###getComparatorThresholdLow###isConnected###_writeRegister###requestADC_Differential_2_3###getLastValue###setMode###getWireClock###readADC_Differential_1_3###begin###toVoltage###setGain###setComparatorPolarity###setWireClock###readADC_Differential_0_3###reset###getDataRate###readADC_Differential_1_2###requestADC###getComparatorLatch###isReady###setComparatorQueConvert###getMaxVoltage###readADC_Differential_0_2###getComparatorThresholdHigh###requestADC_Differential_0_1###getGain###isBusy###readADC_Differential_0_1###setComparatorLatch###requestADC_Differential_0_3###readADC###readADC_Differential_2_3###setDataRate###setComparatorMode###getComparatorMode###requestADC_Differential_1_3###_readRegister###getMode###getComparatorPolarity###getError###_readADC###getComparatorQueConvert,ADS1115
21084980,Adafruit_TSL2591_Library,getGain###disable###getSensor###clearInterrupt###getEvent###calculateLux###begin###getLuminosity###setGain###setTiming###getStatus###getTiming###enable###registerInterrupt###getFullLuminosity,Adafruit_TSL2591
460931313,Versatile_RotaryEncoder,setInvertedSwitch###getButtonBits###setShortPressDuration###getRotary###setHandleRotate###setHandlePressRotate###ReadEncoder###setLongPressDuration###setHandleLongPress###setReadIntervalDuration###setHandleHeldRotateRelease###getEncoder###getEncoderBits###setHandlePressRelease###setHandleLongPressRelease###setHandlePressRotateRelease###setHandlePress###setHandleHeldRotate###getButton,Versatile_RotaryEncoder
98936215,VernierLib,cFactor###voltageID###intercept###page###sensorReading###slope###sensorUnits###readMotionDetector###calEquationType###shortName###sensorName###DCUPWM###sensorNumber###channel###DCU###readSensor###DCUStep###distance###autoID,VernierLib
176168532,Adafruit_Arcada_GifDecoder,startDecoding###setFilePositionCallback###getFrameNumber###setFileSeekCallback###getCycleTime###setStartDrawingCallback###setScreenClearCallback###setFileReadBlockCallback###setDrawLineCallback###setUpdateScreenCallback###getCycleNo###setDrawPixelCallback###setFileReadCallback###decodeFrame###getFrameCount###getSize,GifDecoder
34540824,SparkFun_MicroView_Arduino_Library,setMinValue###setValue###getMaxValue###getMinValue###getX###drawFace###getMaxValLen###draw###getValue###setX###setMaxValue###setY###reDraw###getValLen###drawNumValue###getY,MicroViewWidget
423865706,SparkFun_VEML7700_Arduino_Library,setIntegrationTime###setInterruptEnable###getHighThreshold###isConnected###getPersistenceProtectStr###begin###setPersistenceProtect###shutdown###disableDebugging###getIntegrationTime###enableDebugging###setSensitivityMode###getShutdown###getSensitivityMode###getLux###setShutdown###setHighThreshold###getWhiteLevel###getSensitivityModeStr###getInterruptStatus###getIntegrationTimeStr###getPersistenceProtect###setLowThreshold###getLowThreshold###powerOn###getAmbientLight###getInterruptEnable,VEML7700
152898989,CircuitMess-Ringo,ledcAnalogWrite###setsecond###updateTimeGSM###second###update###currentDateTime###setResolution###incomingCall###popup###setday###alarmPopup###sleep###readFile###lockscreen###equals###waitForOK###applySettings###secondstime###enterPUK###tone2###day###unixtime###begin###addCall###shutdownPopupEnable###dayOfWeek###loader###saveSettings###setCallVolume###checkContact###sethour###collideRectRect###pduDecode###updateNotificationSound###addNotification###appendFile###hour###collidePointCircle###saveAlarms###jpegRender###deallocateAudio###incomingMessage###setyear###drawJpeg###updateTimeRTC###minute###DecodePDUMessage###saveMessage###writeFile###collideCircleCircle###collidePointRect###loadAlarms###checkSim###jpegInfo###textInput###year###removeNotification###setminute###enterPin###loadSettings###splashScreen###updatePopup###setmonth###updateFromFS###month###performUpdate###homePopupEnable###networkModuleInit###reallocateAudio###playNotificationSound###saveNotifications###format###vibration,MAKERphone
152898989,CircuitMess-Ringo,CRGBArray,CRGBArray
152898989,CircuitMess-Ringo,CRGBPalette16,CRGBPalette16
152898989,CircuitMess-Ringo,setFrequency###play###stop###note###waitForNotes###beep###waitFor###setADSR###setDutyCycle###setVolume###fetchSample###setWaveform###isPlaying,Oscillator
122175061,uSevenSegmentLib,get###zeroFill###set###interrupt###attachInterrupt,uSevenSegmentLib
313135809,LapX9C10X,getK###offset###get###reset###set###writeNVM###begin,LapX9C10X
131445447,sds-dust-sensors-arduino-library,setQueryReportingMode###queryPm###setActiveReportingMode###queryWorkingState###execute###setDeviceId###begin###getLastResponse###setContinuousWorkingPeriod###setCustomWorkingPeriod###readPm###readIntoBytes###queryFirmwareVersion###write###sleep###queryWorkingPeriod###queryReportingMode###wakeupUnsafe###SdsDustSensor###wakeup,SdsDustSensor
169871126,QuadratureEncoder,getEncoderCount###encoderCount###interruptEncoder2###setEncoderCount###getEncoderErrorCount###interruptEncoder3###interruptEncoder4###interruptEncoder1,Encoders
